"","rk","player_name","pos","age","tm","g","gs","mp","fg","fga","fg_2","x3p","x3pa","x3p_2","x2p","x2pa","x2p_2","ft","fta","ft_2","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"55",177,"Tim Frazier","PG",31,"TOT",12,3,208,2.4,7.8,0.311,1,2.9,0.353,1.4,4.8,0.286,0.9,1.6,0.556,0.9,2.4,3.3,5.9,0.5,0.2,2.6,4.7,6.8
"56",177,"Tim Frazier","PG",31,"ORL",10,3,200,2.3,7.7,0.302,1.1,3.1,0.353,1.3,4.7,0.269,0.9,1.6,0.556,0.9,2.5,3.4,5.9,0.5,0.2,2.3,4.3,6.7
"57",177,"Tim Frazier","PG",31,"CLE",2,0,8,4.5,9,0.5,0,0,NA,4.5,9,0.5,0,0,NA,0,0,0,4.5,0,0,9,13.5,9
"58",178,"Enes Freedom","C",29,"BOS",35,1,411,4.5,8.5,0.526,0.2,0.4,0.4,4.3,8.1,0.533,2.1,2.5,0.857,5.3,8.7,14,0.7,0.4,1.2,1.8,3.7,11.2
"59",179,"Markelle Fultz","PG",23,"ORL",18,3,360,8.3,17.5,0.474,0.4,1.7,0.235,7.9,15.8,0.5,2.5,3.1,0.806,0.4,4.5,4.9,9.9,2,0.5,4,2.2,19.5
"60",180,"Wenyen Gabriel","PF",24,"TOT",26,5,358,5.4,11.1,0.491,0.8,2.8,0.286,4.6,8.2,0.561,2.5,4.2,0.595,3.9,5.8,9.8,1.4,0.5,1.1,1.6,6.8,14.2
"61",180,"Wenyen Gabriel","PF",24,"BRK",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,36,36,0,0,0,0,0,0
"62",180,"Wenyen Gabriel","PF",24,"LAC",6,0,46,3.9,10.2,0.385,1.6,3.9,0.4,2.3,6.3,0.375,1.6,3.1,0.5,3.9,7,11,1.6,0.8,1.6,2.3,8.6,11
"63",180,"Wenyen Gabriel","PF",24,"LAL",19,5,311,5.7,11.2,0.505,0.7,2.7,0.261,5,8.6,0.581,2.7,4.4,0.605,3.9,5.6,9.5,1.4,0.5,1,1.5,6.6,14.7
"64",181,"Daniel Gafford","C",23,"WAS",72,53,1444,7.1,10.2,0.693,0,0,0,7.1,10.2,0.695,2.7,3.8,0.699,3.9,6.3,10.1,1.7,0.7,2.5,1.6,4.2,16.9
"65",182,"Danilo Gallinari","PF",33,"ATL",66,18,1672,5.6,12.9,0.434,2.4,6.3,0.381,3.2,6.5,0.485,3,3.4,0.904,0.8,5.9,6.6,2.2,0.6,0.3,0.8,2,16.6
"66",183,"Langston Galloway","SG",30,"TOT",7,0,107,2,8.7,0.231,0.7,5.4,0.125,1.3,3.4,0.4,0,0,NA,1,5,6.1,4,0.3,0,2,2.4,4.7
"67",183,"Langston Galloway","SG",30,"BRK",4,0,58,3.1,8.1,0.385,1.2,5,0.25,1.9,3.1,0.6,0,0,NA,0.6,4.3,5,3.1,0,0,3.1,3.1,7.4
"68",183,"Langston Galloway","SG",30,"MIL",3,0,49,0.7,9.6,0.077,0,5.9,0,0.7,3.7,0.2,0,0,NA,1.5,5.9,7.3,5.1,0.7,0,0.7,1.5,1.5
"69",184,"Darius Garland","PG",22,"CLE",68,68,2430,8,17.4,0.462,2.6,6.7,0.383,5.5,10.7,0.512,3.2,3.6,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.7,1.7,21.8
"70",185,"Marcus Garrett","SG",23,"MIA",12,0,128,1.4,5.9,0.238,0.3,1.1,0.25,1.1,4.8,0.235,0.6,1.4,0.4,2.5,3.9,6.5,2,1.4,0.8,0.6,4.5,3.7
"71",186,"Usman Garuba","PF",19,"HOU",24,2,239,2.9,6.6,0.432,0.8,3,0.25,2.1,3.6,0.583,0.8,1.1,0.714,3.2,9.3,12.5,2.6,1.5,1.7,0.9,4.2,7.2
"72",187,"Luka Garza","C",23,"DET",32,5,389,6.1,13.6,0.449,1.5,4.5,0.327,4.6,9.1,0.51,3.5,5.6,0.623,5.4,3.9,9.3,1.9,0.8,0.6,1.7,5.1,17.2
"73",188,"Rudy Gay","PF",35,"UTA",55,1,1038,5.4,13.1,0.414,2.4,7,0.345,3,6.1,0.494,2.2,2.7,0.785,1.9,6.5,8.4,1.9,0.9,0.7,1.6,3.3,15.5
"74",189,"Paul George","SF",31,"LAC",31,31,1077,9,21.3,0.421,3,8.6,0.354,5.9,12.7,0.467,4.2,4.9,0.858,0.4,6.7,7.1,5.9,2.2,0.4,4.2,2.5,25.2
"75",190,"Taj Gibson","C",36,"NYK",52,4,946,3.3,6.3,0.518,0.6,1.4,0.395,2.7,4.9,0.555,1.6,2,0.808,3.3,5.4,8.7,1.2,0.8,1.5,1,5.2,8.7
"76",191,"Josh Giddey","SG",19,"OKC",54,54,1700,6,14.2,0.419,1.2,4.5,0.263,4.8,9.7,0.492,1.2,1.7,0.709,2.1,6.8,8.9,7.3,1.1,0.4,3.6,1.9,14.3
"77",192,"Shai Gilgeous-Alexander","PG",23,"OKC",56,56,1942,8.8,19.5,0.453,1.6,5.5,0.3,7.2,14,0.514,6.1,7.5,0.81,0.7,4.5,5.2,6.1,1.3,0.9,2.9,2.6,25.4
"78",193,"Anthony Gill","PF",29,"WAS",44,0,463,4.8,8.5,0.569,1.1,2,0.538,3.7,6.5,0.578,3.3,4,0.808,2.6,4,6.6,2.1,0.4,0.9,1.4,4.5,14
"79",194,"Freddie Gillespie","PF",24,"ORL",9,2,119,2.7,6.7,0.409,0,0.3,0,2.7,6.4,0.429,0.9,2.1,0.429,3.9,7,10.9,1.5,0.9,2.7,1.5,5.4,6.4
"80",195,"Rudy Gobert","C",29,"UTA",66,66,2120,6.1,8.6,0.713,0,0.1,0,6.1,8.6,0.718,5.1,7.5,0.69,4.1,12.3,16.4,1.2,0.8,2.3,2,3,17.4
"81",196,"Brandon Goodwin","PG",26,"CLE",36,5,502,4.6,11,0.416,1.4,3.9,0.345,3.2,7.1,0.455,1.7,2.7,0.632,1,3.8,4.8,6.5,1.8,0.1,2.6,2.8,12.3
"82",197,"Jordan Goodwin","SG",23,"WAS",2,0,6,0,18,0,0,6,0,0,12,0,0,0,NA,0,6,6,0,0,0,0,6,0
"83",198,"Aaron Gordon","PF",26,"DEN",75,75,2376,6.6,12.6,0.52,1.3,3.9,0.335,5.3,8.7,0.605,2.6,3.5,0.743,1.9,4.8,6.7,2.8,0.7,0.7,2,2.2,17.1
"84",199,"Eric Gordon","SG",33,"HOU",57,46,1669,5.8,12.2,0.475,2.7,6.5,0.412,3.1,5.7,0.548,2.3,2.9,0.778,0.3,2.1,2.4,3.3,0.6,0.4,2.3,1.4,16.5
"85",200,"Devonte Graham","SF",24,"ATL",53,52,1577,5.8,13.1,0.442,1.7,4.5,0.379,4.1,8.7,0.474,2.9,3.8,0.765,0.6,3.4,4,1.6,0.8,0.5,1.6,3.5,16.2
"86",260,"Chandler Hutchison","SF",25,"PHO",6,0,22,1.6,3.3,0.5,0,0,NA,1.6,3.3,0.5,3.3,3.3,1,0,8.2,8.2,3.3,0,0,6.5,1.6,6.5
"87",261,"Bones Hyland","PG",21,"DEN",69,4,1310,6.3,15.7,0.403,3.6,9.8,0.366,2.7,5.9,0.465,2.9,3.4,0.856,0.4,4.8,5.2,5.2,1.1,0.5,2.4,4.2,19.2
"88",262,"Serge Ibaka","C-PF",32,"TOT",54,12,877,6.1,12.2,0.5,1.5,4.1,0.374,4.6,8.1,0.563,1.3,1.8,0.727,2.5,7.7,10.3,2,0.5,1.4,1.8,4.2,15
"89",262,"Serge Ibaka","C",32,"LAC",35,10,538,6.3,12.8,0.49,1.6,4.1,0.387,4.7,8.7,0.538,1.3,1.9,0.69,2.7,7.4,10,2.4,0.5,1.7,2.2,3.7,15.5
"90",262,"Serge Ibaka","PF",32,"MIL",19,2,339,5.7,11,0.519,1.4,3.9,0.351,4.4,7.1,0.612,1.3,1.6,0.8,2.3,8.3,10.6,1.4,0.4,0.7,1.1,4.9,14.1
"91",263,"Andre Iguodala","SF",38,"GSW",31,0,603,2.7,7.2,0.38,1,4.4,0.23,1.7,2.8,0.617,0.9,1.2,0.75,1.3,4.7,6,6.8,1.6,1.3,1.7,2,7.4
"92",264,"Joe Ingles","SF",34,"UTA",45,15,1122,3.7,9.1,0.404,2.5,7.2,0.347,1.2,1.9,0.617,0.5,0.7,0.773,0.4,3.8,4.2,5.1,0.7,0.2,1.5,2.6,10.4
"93",265,"Brandon Ingram","SF",24,"NOP",55,55,1869,8.7,18.9,0.461,1.4,4.4,0.327,7.3,14.6,0.501,5.1,6.2,0.826,0.7,5.5,6.2,5.9,0.7,0.5,2.9,2.3,24
"94",266,"Kyrie Irving","PG",29,"BRK",29,29,1091,9.5,20.3,0.469,3.3,7.9,0.418,6.2,12.4,0.501,3.9,4.3,0.915,0.5,3.7,4.2,5.5,1.4,0.6,2.4,2.7,26.3
"95",267,"Wes Iwundu","SF",27,"ATL",3,1,82,3.5,7.9,0.444,1.3,2.2,0.6,2.2,5.7,0.385,1.3,1.8,0.75,1.3,4.4,5.7,0,0.4,0,0.4,3.5,9.7
"96",268,"Frank Jackson","PG",23,"DET",53,7,1164,6,14.9,0.402,2.7,8.6,0.308,3.3,6.3,0.529,2.7,3.2,0.827,0.6,2.1,2.7,1.7,0.8,0.3,1.2,2.8,17.3
"97",269,"Isaiah Jackson","PF",20,"IND",36,15,541,7.7,13.7,0.563,0.3,1.1,0.313,7.4,12.6,0.584,4,5.9,0.682,4,5.9,9.9,0.7,1.7,3.5,2.7,6.1,19.8
"98",270,"Jaren Jackson Jr.","PF",22,"MEM",78,78,2126,7.3,17.5,0.415,2.2,6.8,0.319,5.1,10.8,0.476,4.8,5.8,0.823,2,5.7,7.7,1.5,1.2,3,2.2,4.6,21.5
"99",271,"Josh Jackson","SF",24,"TOT",51,3,830,5.2,13,0.4,1.4,5.6,0.254,3.8,7.4,0.512,2.4,3.3,0.714,0.9,5.2,6.1,2.3,1.1,1,2,3.8,14.2
"100",271,"Josh Jackson","SF",24,"DET",39,3,707,5.2,12.8,0.41,1.5,5.8,0.265,3.7,7,0.529,2,2.9,0.714,0.9,5.4,6.3,2.5,1.1,0.9,1.9,3.6,14.1
"101",271,"Josh Jackson","SF",24,"SAC",12,0,123,5,14.3,0.347,0.9,5,0.176,4.1,9.4,0.438,4.4,6.1,0.714,1.2,4.1,5.3,1.5,1.5,1.2,2.6,5,15.2
"102",272,"Justin Jackson","SF",26,"TOT",7,0,37,4.9,14.6,0.333,2.9,8.8,0.333,1.9,5.8,0.333,1.9,1.9,1,1,5.8,6.8,1.9,0,0,1,2.9,14.6
"103",272,"Justin Jackson","SF",26,"BOS",1,0,2,0,18,0,0,0,NA,0,18,0,36,36,1,0,0,0,0,0,0,0,0,36
"104",272,"Justin Jackson","SF",26,"PHO",6,0,35,5.1,14.4,0.357,3.1,9.3,0.333,2.1,5.1,0.4,0,0,NA,1,6.2,7.2,2.1,0,0,1,3.1,13.4
"105",273,"Reggie Jackson","SG",31,"LAC",75,75,2337,7.4,18.8,0.392,2.6,7.9,0.326,4.8,10.9,0.439,2.1,2.5,0.847,0.6,3.6,4.2,5.5,0.8,0.2,2.7,2.4,19.5
"106",274,"LeBron James","SF",37,"LAL",56,56,2084,11.1,21.1,0.524,2.8,7.7,0.359,8.3,13.4,0.62,4.4,5.8,0.756,1.1,6.8,7.9,6,1.3,1,3.4,2.1,29.3
"107",275,"DeJon Jarreau","SG",24,"IND",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
"108",276,"DaQuan Jeffries","SG",24,"MEM",3,0,9,4,8,0.5,0,4,0,4,4,1,0,0,NA,0,8,8,4,0,0,0,4,8
"109",277,"Ty Jerome","SG",24,"OKC",48,4,801,5.6,14.7,0.378,2.4,8.4,0.29,3.1,6.4,0.493,1.7,2.1,0.809,0.9,2.7,3.5,4.9,1.3,0.2,1.7,3.3,15.3
"110",278,"Isaiah Joe","SG",22,"PHI",55,1,609,3.7,10.5,0.35,2.7,8,0.333,1,2.5,0.405,1.7,1.8,0.935,0.4,3,3.3,2.1,0.8,0.2,1.1,2.8,11.7
"111",279,"Alize Johnson","PF",25,"TOT",23,0,167,3.7,8.4,0.436,0,0.9,0,3.7,7.5,0.486,1.5,2.6,0.583,6,7.1,13.1,1.9,1.1,0,2.6,3.9,8.8
"112",279,"Alize Johnson","PF",25,"CHI",16,0,121,3.6,6.8,0.522,0,0.6,0,3.6,6.2,0.571,1.2,2.1,0.571,4.8,6,10.7,2.4,0.9,0,2.4,4.5,8.3
"113",279,"Alize Johnson","PF",25,"WAS",3,0,18,4,12,0.333,0,4,0,4,8,0.5,0,2,0,10,14,24,0,0,0,6,0,8
"114",279,"Alize Johnson","PF",25,"NOP",4,0,28,3.9,12.9,0.3,0,0,NA,3.9,12.9,0.3,3.9,5.1,0.75,9,7.7,16.7,1.3,2.6,0,1.3,3.9,11.6
"115",280,"B.J. Johnson","SF",26,"ORL",4,0,65,6.1,13.8,0.44,2.2,5.5,0.4,3.9,8.3,0.467,0,0,NA,3.3,5,8.3,0,0,0.6,0,2.2,14.4
"116",281,"Cameron Johnson","PF",25,"PHO",66,16,1730,5.8,12.6,0.46,3.5,8.1,0.425,2.4,4.5,0.523,2,2.4,0.86,0.9,4.8,5.7,2.1,1.2,0.3,1,2.4,17.1
"117",282,"David Johnson","SG",20,"TOR",2,0,2,0,18,0,0,18,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
"118",283,"Jalen Johnson","PF",20,"ATL",22,0,120,6.6,12.3,0.537,0.9,3.9,0.231,5.7,8.4,0.679,1.5,2.1,0.714,0.6,7.2,7.8,0.9,0.9,0.6,2.7,2.7,15.6
"119",284,"James Johnson","PF",34,"BRK",62,10,1191,4.4,9.3,0.469,0.7,2.6,0.271,3.7,6.7,0.545,0.9,1.7,0.527,1.5,5,6.5,3.9,0.9,1,1.5,4.9,10.3
"120",285,"Joe Johnson","SG",40,"BOS",1,0,2,18,18,1,0,0,NA,18,18,1,0,0,NA,0,0,0,0,0,0,0,0,36
"121",286,"Keldon Johnson","SF",22,"SAS",75,74,2392,7.1,15.2,0.466,2.4,6,0.398,4.7,9.2,0.51,2.7,3.5,0.756,1.2,5.7,6.9,2.4,0.9,0.2,1.4,2.2,19.2
"122",287,"Keon Johnson","SG",19,"TOT",37,12,697,5,14,0.353,1.8,5.2,0.34,3.2,8.9,0.36,2.1,2.6,0.804,1.2,2.9,4.2,3.9,1.4,0.6,2.4,3.6,13.8
"123",287,"Keon Johnson","SG",19,"LAC",15,0,135,4.5,13.6,0.333,0.8,2.9,0.273,3.7,10.7,0.35,4.3,5.6,0.762,1.6,4,5.6,3.5,1.9,0.5,1.9,5.6,14.1
"124",287,"Keon Johnson","SG",19,"POR",22,12,562,5.1,14.2,0.357,2,5.7,0.348,3.1,8.5,0.364,1.6,1.9,0.833,1.2,2.7,3.8,4,1.3,0.6,2.5,3.1,13.7
"125",288,"Stanley Johnson","PF",25,"LAL",48,27,1094,3.9,8.3,0.466,1.1,3.5,0.314,2.8,4.8,0.575,1.7,2.4,0.716,1.1,4,5.1,2.6,1.4,0.5,1.2,3.6,10.5
"126",289,"Tyler Johnson","PG",29,"TOT",6,0,91,2.4,7.9,0.3,2,5.1,0.385,0.4,2.8,0.143,0,0,NA,1.2,3.6,4.7,2.8,1.2,1.2,0.8,2.8,6.7
"127",289,"Tyler Johnson","PG",29,"PHI",3,0,38,3.8,9.5,0.4,2.8,6.6,0.429,0.9,2.8,0.333,0,0,NA,0.9,4.7,5.7,1.9,0.9,0.9,0.9,3.8,10.4
"128",289,"Tyler Johnson","PG",29,"SAS",3,0,53,1.4,6.8,0.2,1.4,4.1,0.333,0,2.7,0,0,0,NA,1.4,2.7,4.1,3.4,1.4,1.4,0.7,2,4.1
"129",290,"Nikola Jokić","C",26,"DEN",74,74,2476,11.1,19.1,0.583,1.4,4.2,0.337,9.7,14.9,0.652,5.5,6.8,0.81,3,11.8,14.8,8.5,1.6,0.9,4.1,2.8,29.1
"130",291,"Carlik Jones","PG",24,"TOT",5,0,23,1.6,14.1,0.111,0,1.6,0,1.6,12.5,0.125,3.1,3.1,1,1.6,3.1,4.7,7.8,1.6,0,4.7,0,6.3
"131",291,"Carlik Jones","PG",24,"DAL",3,0,19,0,13.3,0,0,1.9,0,0,11.4,0,3.8,3.8,1,1.9,3.8,5.7,9.5,1.9,0,5.7,0,3.8
"132",291,"Carlik Jones","PG",24,"DEN",2,0,4,9,18,0.5,0,0,NA,9,18,0.5,0,0,NA,0,0,0,0,0,0,0,0,18
"133",292,"Damian Jones","C",26,"SAC",56,15,1017,6.2,9.4,0.658,0.4,1,0.345,5.8,8.4,0.696,3.3,4.6,0.718,2.7,6.1,8.7,2.4,0.9,1.7,2.1,4.6,16.1
"134",293,"Derrick Jones Jr.","PF",24,"CHI",51,8,899,4.2,7.8,0.538,0.8,2.4,0.328,3.4,5.4,0.634,2.2,2.8,0.8,2.4,4.4,6.8,1.2,1,1.3,1.2,4.2,11.5
"135",294,"Herbert Jones","PF",23,"NOP",78,69,2335,4.2,8.9,0.476,0.9,2.6,0.337,3.3,6.3,0.533,2.1,2.5,0.84,1.5,3.1,4.6,2.6,2,0.9,1.5,3.7,11.4
"136",295,"Jemerrio Jones","SF",26,"LAL",2,0,15,4.8,7.2,0.667,0,0,NA,4.8,7.2,0.667,0,0,NA,4.8,2.4,7.2,0,2.4,0,0,4.8,9.6
"137",296,"Kai Jones","C",21,"CHO",21,0,63,5.1,8,0.643,0.6,1.1,0.5,4.6,6.9,0.667,1.7,4.6,0.375,1.7,4.6,6.3,2.3,0.6,1.1,3.4,4.6,12.6
"138",297,"Mason Jones","SG",23,"LAL",4,0,51,4.9,10.6,0.467,0.7,2.8,0.25,4.2,7.8,0.545,8.5,10.6,0.8,0.7,6.4,7.1,2.8,1.4,0,0.7,5.6,19.1
"139",298,"Tre Jones","PG",22,"SAS",69,11,1148,5.2,10.6,0.49,0.3,1.6,0.196,4.9,9,0.542,2.2,2.9,0.78,0.9,4,4.9,7.3,1.3,0.2,1.4,2.4,13
"140",299,"Tyus Jones","PG",25,"MEM",73,23,1549,5.8,12.8,0.451,1.9,4.8,0.39,3.9,8.1,0.487,1.3,1.5,0.818,0.4,3.7,4.1,7.5,1.5,0,1.1,0.7,14.7
"141",300,"DeAndre Jordan","C",33,"TOT",48,20,622,5.3,8.3,0.643,0,0,NA,5.3,8.3,0.643,1.3,2.3,0.55,4.8,10.5,15.3,1.2,0.7,2,2.1,4.1,11.9
"142",300,"DeAndre Jordan","C",33,"LAL",32,19,408,5.3,7.9,0.674,0,0,NA,5.3,7.9,0.674,1.1,2.3,0.462,4.5,10.7,15.2,1.1,0.9,2.3,1.9,4.4,11.6
"143",300,"DeAndre Jordan","C",33,"PHI",16,1,214,5.4,9.1,0.593,0,0,NA,5.4,9.1,0.593,1.7,2.4,0.714,5.4,10.1,15.5,1.3,0.3,1.5,2.7,3.5,12.4
"144",301,"Cory Joseph","PG",30,"DET",65,39,1600,4,9,0.445,1.5,3.5,0.414,2.5,5.5,0.465,2.3,2.5,0.885,0.7,3.3,3.9,5.3,0.9,0.4,1.9,3.3,11.7
"145",302,"Georgios Kalaitzakis","SF",23,"TOT",13,4,214,5.2,11.3,0.463,1.7,4.4,0.385,3.5,6.9,0.512,2.4,5,0.467,1,2.5,3.5,2,1.9,0.3,3.4,3.2,14.5
"146",302,"Georgios Kalaitzakis","SF",23,"MIL",9,0,48,3.7,8.2,0.455,1.5,3,0.5,2.3,5.2,0.429,3,6.8,0.444,3,3,6,0,0.7,0.7,3,6,12
"147",302,"Georgios Kalaitzakis","SF",23,"OKC",4,4,166,5.6,12.1,0.464,1.7,4.8,0.364,3.9,7.4,0.529,2.2,4.6,0.476,0.4,2.4,2.8,2.6,2.2,0.2,3.5,2.4,15.2
"148",303,"Frank Kaminsky","C",28,"PHO",9,0,181,7.2,13.1,0.545,1,3,0.333,6.2,10.1,0.608,3.6,4,0.9,2.2,6,8.2,2.6,1.6,1.4,1,2.8,18.9
"149",304,"Luke Kennard","SG",25,"LAC",70,13,1919,5.4,12,0.449,3.6,7.9,0.449,1.8,4.1,0.449,1.3,1.4,0.896,0.4,3.9,4.3,2.7,0.8,0.1,1.1,1.9,15.6
"150",305,"Braxton Key","SF",24,"TOT",11,0,197,6,13.2,0.458,1.1,3.8,0.286,4.9,9.3,0.529,1.3,2.4,0.538,2.4,6.8,9.1,2,1.8,2,2,4.8,14.4
"151",305,"Braxton Key","SF",24,"PHI",2,0,6,6,12,0.5,0,6,0,6,6,1,0,0,NA,6,6,12,6,6,0,12,6,12
"152",305,"Braxton Key","SF",24,"DET",9,0,191,6,13.2,0.457,1.1,3.8,0.3,4.9,9.4,0.52,1.3,2.5,0.538,2.3,6.8,9,1.9,1.7,2.1,1.7,4.7,14.5
"153",306,"George King","SF",28,"DAL",4,0,19,0,9.5,0,0,7.6,0,0,1.9,0,1.9,3.8,0.5,0,9.5,9.5,0,0,0,1.9,7.6,1.9
"154",307,"Louis King","SF",22,"SAC",10,0,104,5.2,16.3,0.319,2.8,9.3,0.296,2.4,6.9,0.35,2.4,3.5,0.7,0,4.2,4.2,3.1,0.7,0.3,0,4.8,15.6
"155",308,"Corey Kispert","SF",22,"WAS",77,36,1801,4.7,10.3,0.455,2.2,6.4,0.35,2.4,3.9,0.629,1.1,1.2,0.871,1.1,3.1,4.2,1.7,0.7,0.4,1,1.9,12.7
"156",309,"Maxi Kleber","PF",30,"DAL",59,21,1450,3.5,8.8,0.398,2.1,6.3,0.325,1.4,2.5,0.586,1.1,1.6,0.708,1.7,7,8.7,1.7,0.7,1.4,1.2,3.4,10.2
"157",310,"Brandon Knight","PG",30,"DAL",5,0,65,5.5,13.8,0.4,2.2,9.4,0.235,3.3,4.4,0.75,4.4,4.4,1,0,4.4,4.4,4.4,0.6,0,2.2,2.8,17.7
"158",311,"Nathan Knight","PF",24,"MIN",37,2,267,6.1,11.9,0.511,0.5,1.8,0.308,5.5,10.1,0.547,5.9,8.1,0.733,4.3,7.1,11.5,3,0.9,1.1,2.4,5.7,18.6
"159",312,"Kevin Knox","SF",22,"TOT",30,0,222,5,13.8,0.365,2.4,8.8,0.278,2.6,5,0.516,2.6,3.6,0.727,2.3,4.9,7.1,1.6,0.6,0.3,1.1,3.1,15.1
"160",312,"Kevin Knox","SF",22,"NYK",13,0,111,4.9,13,0.375,3.2,9.1,0.357,1.6,3.9,0.417,2.3,3.2,0.7,2.6,4.5,7.1,1,0.6,0.3,1.6,1.6,15.2
"161",312,"Kevin Knox","SF",22,"ATL",17,0,111,5.2,14.6,0.356,1.6,8.4,0.192,3.6,6.2,0.579,2.9,3.9,0.75,1.9,5.2,7.1,2.3,0.6,0.3,0.6,4.5,14.9
"162",313,"John Konchar","SG",25,"MEM",72,7,1292,3.8,7.3,0.515,1.4,3.5,0.413,2.3,3.8,0.61,0.8,1.4,0.551,2.4,6.7,9.2,3,1.3,0.6,0.8,2.5,9.7
"163",314,"Furkan Korkmaz","SG",24,"PHI",67,19,1414,4.6,12,0.387,2,6.8,0.289,2.7,5.2,0.515,1.7,2.1,0.81,0.6,3.9,4.5,3.2,0.8,0.2,1.2,1.5,13
"164",315,"Luke Kornet","C",26,"TOT",15,0,103,4.5,9.4,0.481,0,1.7,0,4.5,7.7,0.591,1.4,2.1,0.667,4.5,5.6,10.1,3.1,1,1,0,3.1,10.5
"165",315,"Luke Kornet","C",26,"CLE",2,0,15,2.4,12,0.2,0,2.4,0,2.4,9.6,0.25,4.8,7.2,0.667,4.8,2.4,7.2,2.4,0,2.4,0,2.4,9.6
"166",315,"Luke Kornet","C",26,"MIL",1,0,3,0,12,0,0,0,NA,0,12,0,0,0,NA,12,0,12,0,0,0,0,12,0
"167",315,"Luke Kornet","C",26,"BOS",12,0,85,5.1,8.9,0.571,0,1.7,0,5.1,7.2,0.706,0.8,1.3,0.667,4.2,6.4,10.6,3.4,1.3,0.8,0,3,11
"168",316,"Vit Krejci","SG",21,"OKC",30,8,690,3.5,8.7,0.407,1.7,5.1,0.327,1.9,3.6,0.522,1,1.1,0.864,0.9,4.3,5.3,3,1,0.4,1.5,3.4,9.8
"169",317,"Arnoldas Kulboka","SF",24,"CHO",2,0,5,0,7.2,0,0,7.2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,7.2,0
"170",318,"Jonathan Kuminga","SF",19,"GSW",70,12,1185,7.2,14,0.513,1.5,4.5,0.336,5.7,9.4,0.598,3.9,5.8,0.684,1.6,5.5,7.1,1.9,0.9,0.7,2.2,4.4,19.8
"171",319,"Kyle Kuzma","PF",26,"WAS",66,66,2204,6.9,15.3,0.452,2.1,6.1,0.341,4.8,9.2,0.526,2.5,3.6,0.712,1.1,8,9.2,3.8,0.7,0.9,2.8,2.1,18.5
"172",320,"Anthony Lamb","SF",24,"SAS",2,0,8,0,9,0,0,9,0,0,0,NA,0,0,NA,0,4.5,4.5,9,0,0,0,0,0
"173",321,"Jeremy Lamb","SF-SG",29,"TOT",56,0,935,5.1,13.4,0.383,2.1,6.5,0.324,3,6.8,0.441,3.4,4.1,0.84,1,4.9,5.9,3.1,1.2,0.8,1.4,2.3,15.8
"174",321,"Jeremy Lamb","SF",29,"IND",39,0,613,5,13.4,0.373,2.3,6.9,0.333,2.7,6.5,0.414,3.9,4.7,0.838,0.9,4.6,5.5,3,1.4,0.8,1.4,2.6,16.2
"175",321,"Jeremy Lamb","SG",29,"SAC",17,0,322,5.4,13.3,0.403,1.8,5.9,0.302,3.6,7.4,0.485,2.5,2.9,0.846,1.2,5.5,6.7,3.4,0.9,0.9,1.5,1.7,15
"176",322,"Jock Landale","C",26,"SAS",54,1,589,6.2,12.5,0.495,1.8,5.4,0.326,4.4,7,0.626,2.1,2.5,0.829,3.9,4.6,8.4,2.8,0.6,0.9,1.9,3.2,16.2
"177",323,"Romeo Langford","SG",22,"TOT",48,5,771,3.9,8.9,0.435,1.4,4,0.341,2.5,4.9,0.509,1.1,2,0.548,1.4,3.6,5,1,1,0.7,0.7,2.2,10.2
"178",323,"Romeo Langford","SG",22,"BOS",44,5,728,3.9,9.1,0.429,1.4,4.1,0.349,2.5,5,0.495,1,1.7,0.588,1.5,3.7,5.1,0.9,1,0.8,0.8,2.3,10.2
"179",323,"Romeo Langford","SG",22,"SAS",4,0,43,3.3,5.9,0.571,0,1.7,0,3.3,4.2,0.8,2.5,6.7,0.375,0,3.3,3.3,1.7,0.8,0,0,0.8,9.2
"180",324,"Zach LaVine","SF",26,"CHI",67,67,2328,8.7,18.3,0.476,2.9,7.3,0.389,5.9,11,0.534,4.9,5.8,0.853,0.3,4.4,4.8,4.7,0.6,0.4,2.6,1.9,25.3
"181",325,"Jake Layman","SF",27,"MIN",34,1,231,4.7,11.4,0.411,1.2,5.5,0.229,3.4,5.9,0.579,2,2.8,0.722,0.9,4.7,5.6,1.4,1.1,0.8,1.6,1.9,12.6
"182",326,"Damion Lee","SG",29,"GSW",63,5,1256,4.8,11,0.441,1.8,5.4,0.337,3,5.6,0.541,1.9,2.1,0.88,0.8,5,5.8,1.8,1.1,0.2,1.1,2.7,13.4
"183",327,"Saben Lee","PG",22,"DET",37,0,604,4.1,10.5,0.39,0.8,3.6,0.233,3.3,7,0.47,3.3,4.2,0.789,1.1,4.1,5.2,6.4,2.1,0.7,2.1,2.6,12.4
"184",328,"Alex Len","C",28,"SAC",39,10,620,5.5,10.2,0.534,0.3,1.2,0.286,5.1,9,0.568,2.4,3.7,0.651,3,6.3,9.3,2.6,0.8,1.5,2.5,5.8,13.6
