"","rk","player_name","pos","age","tm","g","gs","mp","fg","fga","fg_2","x3p","x3pa","x3p_2","x2p","x2pa","x2p_2","ft","fta","ft_2","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"405",593,"Justise Winslow","SF",25,"TOT",48,11,774,5.1,12,0.428,0.7,3.1,0.227,4.4,8.9,0.497,1.8,3.1,0.591,2.3,7.1,9.4,3.9,1.6,1.2,2.3,3.1,12.7
"406",593,"Justise Winslow","SF",25,"LAC",37,1,479,4.7,10.6,0.447,0.4,2.2,0.172,4.4,8.4,0.518,1.9,3.1,0.61,2.3,7.7,10,3.9,1.6,1.4,2.8,3.5,11.7
"407",593,"Justise Winslow","SF",25,"POR",11,10,295,5.7,14.2,0.405,1.2,4.5,0.27,4.5,9.6,0.468,1.7,3.1,0.56,2.4,6,8.4,3.9,1.7,0.9,1.5,2.6,14.4
"408",594,"Cassius Winston","PG",23,"WAS",7,0,39,3.7,10.2,0.364,1.8,5.5,0.333,1.8,4.6,0.4,3.7,3.7,1,0,0.9,0.9,6.5,0,0,2.8,8.3,12.9
"409",595,"Christian Wood","C",26,"HOU",68,67,2094,7.6,15.1,0.501,2.3,5.8,0.39,5.3,9.3,0.57,3.6,5.7,0.623,1.9,9.9,11.8,2.7,0.9,1.1,2.2,2.9,20.9
"410",596,"Robert Woodard II","SF",22,"SAC",12,0,42,1.7,13.7,0.125,0.9,3.4,0.25,0.9,10.3,0.083,1.7,1.7,1,4.3,5.1,9.4,2.6,0.9,0.9,0.9,2.6,6
"411",597,"Delon Wright","SG",29,"ATL",77,8,1452,3,6.7,0.454,1.1,2.9,0.379,1.9,3.8,0.51,1.3,1.6,0.857,1.2,4.2,5.5,4.7,2.3,0.5,1.1,1.4,8.5
"412",598,"McKinley Wright IV","PG",23,"MIN",5,0,19,3.8,5.7,0.667,1.9,3.8,0.5,1.9,1.9,1,0,0,NA,0,0,0,5.7,0,0,1.9,1.9,9.5
"413",599,"Moses Wright","PF",23,"TOT",4,0,14,2.6,10.3,0.25,0,2.6,0,2.6,7.7,0.333,7.7,7.7,1,2.6,5.1,7.7,5.1,0,2.6,0,0,12.9
"414",599,"Moses Wright","PF",23,"LAC",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,36,0,0,0,0,0
"415",599,"Moses Wright","PF",23,"DAL",3,0,13,2.8,11.1,0.25,0,2.8,0,2.8,8.3,0.333,8.3,8.3,1,2.8,5.5,8.3,2.8,0,2.8,0,0,13.8
"416",600,"Gabe York","SG",28,"IND",2,0,21,3.4,12,0.286,1.7,10.3,0.167,1.7,1.7,1,5.1,8.6,0.6,0,3.4,3.4,6.9,3.4,1.7,1.7,6.9,13.7
"417",601,"Thaddeus Young","PF",33,"TOT",52,1,845,6,11.6,0.518,0.7,2,0.354,5.3,9.5,0.554,1,2.1,0.469,3.4,5.5,8.9,4.4,2.3,0.8,2.2,3.5,13.7
"418",601,"Thaddeus Young","PF",33,"SAS",26,1,370,7.2,12.5,0.578,0,0.5,0,7.2,12,0.602,1,2.1,0.455,3.9,5.2,9,5.7,2.2,0.7,2.9,3.7,15.4
"419",601,"Thaddeus Young","PF",33,"TOR",26,0,475,5.1,10.9,0.465,1.3,3.3,0.395,3.8,7.7,0.495,1,2,0.481,3,5.7,8.7,3.4,2.3,0.8,1.7,3.3,12.4
"420",602,"Trae Young","PG",23,"ATL",76,76,2652,9.7,21,0.46,3.2,8.3,0.382,6.5,12.7,0.512,6.8,7.5,0.904,0.7,3.2,3.9,10,1,0.1,4.1,1.7,29.3
"421",603,"Omer Yurtseven","C",23,"MIA",56,12,706,6.6,12.6,0.526,0.1,0.6,0.091,6.6,12,0.547,1.9,3.1,0.623,4.3,10.7,15,2.5,0.9,1,2.1,4.3,15.2
"422",604,"Cody Zeller","C",29,"POR",27,0,355,5.2,9.1,0.567,0,0.4,0,5.2,8.7,0.593,3.9,5,0.776,5.1,7.6,12.7,2.2,0.8,0.6,1.9,5.7,14.2
"423",605,"Ivica Zubac","C",24,"LAC",76,76,1852,6,9.6,0.626,0,0,NA,6,9.6,0.626,3.2,4.4,0.727,4.2,8.3,12.5,2.3,0.7,1.5,2.2,3.9,15.3
