"","player_name","player_height_inches","player_weight","mp","raptor_offense","raptor_defense","raptor_total","POS","AGE","TM","G","GS","MP","FG","FGA","FG_pct","FG3","FGA3","FG3_pct","FG2","FGA2","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","Fouls","PTS"
"227","Norman Powell",75,215,1458,1.33590105216717,-2.72885588622367,-1.3929548340565,"SF-SG",28,"TOT",45,41,1458,6.9,14.9,0.461,2.6,6.2,0.419,4.3,0.491,4.7,5.8,0.811,0.5,3.1,3.6,2.4,1,0.5,1.7,2.6,21.1
"228","Norvel Pelle",82,231,19,-17.2251434007834,-15.721498016407,-32.9466414171904,"C",28,"UTA",3,0,19,5.7,9.5,0.6,0,0,NA,5.7,0.6,0,0,NA,5.7,5.7,11.4,0,0,1.9,3.8,1.9,11.4
"229","OG Anunoby",79,232,1799,0.478045848466567,-0.713731448573989,-0.235685600107422,"SF",24,"TOR",48,48,1728,6.4,14.5,0.443,2.4,6.6,0.363,4,0.511,1.9,2.5,0.754,1.5,4,5.5,2.6,1.5,0.5,1.7,2.7,17.1
"230","Obi Toppin",81,220,1230,-0.579600642380154,-0.543250945095277,-1.12285158747543,"PF",23,"NYK",72,10,1230,7.3,13.8,0.531,1.5,4.9,0.308,5.8,0.655,2.8,3.6,0.758,2,5.8,7.8,2.3,0.7,1,1.6,3,19
"231","Olivier Sarr",84,240,421,-3.51761860025454,-2.51657138147842,-6.03418998173296,"C",22,"OKC",22,2,421,5,8.6,0.574,1.1,2.5,0.448,3.8,0.625,2.1,2.5,0.828,2.9,5,8,1.6,0.5,1.3,1.9,4.4,13.1
"232","Omer Yurtseven",83,275,711,-2.12859847051731,0.777748674663356,-1.35084979585395,"C",23,"MIA",56,12,706,6.6,12.6,0.526,0.1,0.6,0.091,6.6,0.547,1.9,3.1,0.623,4.3,10.7,15,2.5,0.9,1,2.1,4.3,15.2
"233","Onyeka Okongwu",80,240,1013,-0.22182035048613,1.79792436737468,1.57610401688855,"C",21,"ATL",48,6,992,5.7,8.2,0.69,0,0,NA,5.7,0.69,2.9,4,0.727,4.2,6.1,10.3,1.9,1.1,2.2,1.6,5.4,14.2
"234","Otto Porter Jr.",80,198,1444,0.610500496205264,2.19318183326375,2.80368232946902,"PF",28,"GSW",63,15,1396,5,10.7,0.464,2.1,5.6,0.37,2.9,0.565,1.3,1.6,0.803,2.2,7.1,9.3,2.4,1.8,0.7,1,2.1,13.3
"235","P.J. Tucker",77,245,2005,-0.809756463985765,2.34517863180725,1.53542216782149,"PF",36,"MIA",71,70,1981,3.8,7.8,0.484,1.5,3.5,0.415,2.3,0.54,0.8,1.1,0.738,1.8,5.2,7,2.7,1.1,0.3,1.2,2.9,9.8
"236","P.J. Washington",79,230,1768,0.0614030736613671,-1.38931569728626,-1.32791262362489,"PF",23,"CHO",65,28,1768,5.1,10.8,0.47,2.2,6.1,0.365,2.9,0.606,1.2,1.6,0.716,1.7,5.2,6.9,3,1.2,1.2,1.7,3.1,13.6
